GAME_ID,GAME_DATE,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,IS_HOME,POINTS_FOR,POINTS_AGAINST,WIN,MARGIN,FGA,FTA,OREB,TOV,MATCHUP,SEASON_ID
0022500204,2025-11-10,1610612740,NOP,New Orleans Pelicans,0,98,121,0,-23,83,26,15,20,NOP @ PHX,22025
0022500219,2025-11-12,1610612740,NOP,New Orleans Pelicans,1,117,125,0,-8,91,21,15,10,NOP vs. POR,22025
0022500045,2025-11-14,1610612740,NOP,New Orleans Pelicans,1,104,118,0,-14,89,18,12,20,NOP vs. LAL,22025
0022500084,2025-10-22,1610612741,CHI,Chicago Bulls,1,115,111,1,4,87,32,12,18,CHI vs. DET,22025
0022500100,2025-10-25,1610612741,CHI,Chicago Bulls,0,110,98,1,12,83,29,9,20,CHI @ ORL,22025
0022500115,2025-10-27,1610612741,CHI,Chicago Bulls,1,128,123,1,5,92,21,12,18,CHI vs. ATL,22025
0022500132,2025-10-29,1610612741,CHI,Chicago Bulls,1,126,113,1,13,91,18,12,16,CHI vs. SAC,22025
0022500023,2025-10-31,1610612741,CHI,Chicago Bulls,1,135,125,1,10,84,35,6,9,CHI vs. NYK,22025
0022500153,2025-11-02,1610612741,CHI,Chicago Bulls,0,116,128,0,-12,93,11,12,14,CHI @ NYK,22025
0022500167,2025-11-04,1610612741,CHI,Chicago Bulls,1,113,111,1,2,89,20,12,18,CHI vs. PHI,22025
0022500035,2025-11-07,1610612741,CHI,Chicago Bulls,0,110,126,0,-16,90,16,8,14,CHI @ MIL,22025
0022500186,2025-11-08,1610612741,CHI,Chicago Bulls,0,122,128,0,-6,84,36,10,14,CHI @ CLE,22025
0022500202,2025-11-10,1610612741,CHI,Chicago Bulls,1,117,121,0,-4,93,23,11,13,CHI vs. SAS,22025
0022500214,2025-11-12,1610612741,CHI,Chicago Bulls,0,113,124,0,-11,86,28,12,21,CHI @ DET,22025
0022500004,2025-10-22,1610612742,DAL,Dallas Mavericks,1,92,125,0,-33,83,26,9,16,DAL vs. SAS,22025
0022500096,2025-10-24,1610612742,DAL,Dallas Mavericks,1,107,117,0,-10,88,27,9,21,DAL vs. WAS,22025
0022500111,2025-10-26,1610612742,DAL,Dallas Mavericks,1,139,129,1,10,85,39,12,20,DAL vs. TOR,22025
0022500119,2025-10-27,1610612742,DAL,Dallas Mavericks,1,94,101,0,-7,87,22,6,9,DAL vs. OKC,22025
0022500133,2025-10-29,1610612742,DAL,Dallas Mavericks,1,107,105,1,2,79,37,7,19,DAL vs. IND,22025
0022500147,2025-11-01,1610612742,DAL,Dallas Mavericks,0,110,122,0,-12,80,31,7,15,DAL @ DET,22025
0022500160,2025-11-03,1610612742,DAL,Dallas Mavericks,0,102,110,0,-8,89,20,10,15,DAL @ HOU,22025
0022500177,2025-11-05,1610612742,DAL,Dallas Mavericks,1,99,101,0,-2,89,20,10,15,DAL vs. NOP,22025
0022500034,2025-11-07,1610612742,DAL,Dallas Mavericks,0,104,118,0,-14,86,16,8,18,DAL @ MEM,22025
0022500183,2025-11-08,1610612742,DAL,Dallas Mavericks,0,111,105,1,6,93,30,16,13,DAL @ WAS,22025
0022500203,2025-11-10,1610612742,DAL,Dallas Mavericks,1,114,116,0,-2,89,41,16,15,DAL vs. MIL,22025
0022500221,2025-11-12,1610612742,DAL,Dallas Mavericks,1,114,123,0,-9,86,17,8,21,DAL vs. PHX,22025
0022500046,2025-11-14,1610612742,DAL,Dallas Mavericks,1,127,133,0,-6,99,38,11,25,DAL vs. LAC,22025
0022500006,2025-10-23,1610612743,DEN,Denver Nuggets,0,131,137,0,-6,95,14,7,13,DEN @ GSW,22025
0022500104,2025-10-25,1610612743,DEN,Denver Nuggets,1,133,111,1,22,84,42,11,16,DEN vs. PHX,22025
0022500008,2025-10-27,1610612743,DEN,Denver Nuggets,0,127,114,1,13,88,25,10,14,DEN @ MIN,22025
0022500134,2025-10-29,1610612743,DEN,Denver Nuggets,1,122,88,1,34,90,14,13,14,DEN vs. NOP,22025
0022500026,2025-10-31,1610612743,DEN,Denver Nuggets,0,107,109,0,-2,79,31,10,19,DEN @ POR,22025
0022500162,2025-11-03,1610612743,DEN,Denver Nuggets,1,130,124,1,6,97,24,8,8,DEN vs. SAC,22025
0022500178,2025-11-05,1610612743,DEN,Denver Nuggets,1,122,112,1,10,101,28,21,17,DEN vs. MIA,22025
0022500037,2025-11-07,1610612743,DEN,Denver Nuggets,1,129,104,1,25,82,25,7,9,DEN vs. GSW,22025
0022500189,2025-11-08,1610612743,DEN,Denver Nuggets,1,117,100,1,17,93,23,15,18,DEN vs. IND,22025
0022500212,2025-11-11,1610612743,DEN,Denver Nuggets,0,122,108,1,14,86,27,15,13,DEN @ SAC,22025
0022500224,2025-11-12,1610612743,DEN,Denver Nuggets,0,130,116,1,14,84,35,11,12,DEN @ LAC,22025
0022500232,2025-11-15,1610612743,DEN,Denver Nuggets,0,80,78,1,2,59,20,5,10,DEN @ MIN,22025
0022500002,2025-10-21,1610612744,GSW,Golden State Warriors,0,119,109,1,10,78,29,9,19,GSW @ LAL,22025
0022500006,2025-10-23,1610612744,GSW,Golden State Warriors,1,137,131,1,6,99,25,10,9,GSW vs. DEN,22025
0022500097,2025-10-24,1610612744,GSW,Golden State Warriors,0,119,139,0,-20,80,39,12,25,GSW @ POR,22025
0022500121,2025-10-27,1610612744,GSW,Golden State Warriors,1,131,118,1,13,83,30,7,16,GSW vs. MEM,22025
0022500127,2025-10-28,1610612744,GSW,Golden State Warriors,1,98,79,1,19,86,4,10,13,GSW vs. LAC,22025
0022500139,2025-10-30,1610612744,GSW,Golden State Warriors,0,110,120,0,-10,85,26,9,22,GSW @ MIL,22025
0022500144,2025-11-01,1610612744,GSW,Golden State Warriors,0,109,114,0,-5,90,22,10,16,GSW @ IND,22025
0022500169,2025-11-04,1610612744,GSW,Golden State Warriors,1,118,107,1,11,83,20,8,16,GSW vs. PHX,22025
0022500181,2025-11-05,1610612744,GSW,Golden State Warriors,0,116,121,0,-5,89,23,10,19,GSW @ SAC,22025
0022500037,2025-11-07,1610612744,GSW,Golden State Warriors,0,104,129,0,-25,95,15,17,12,GSW @ DEN,22025
0022500196,2025-11-09,1610612744,GSW,Golden State Warriors,1,114,83,1,31,88,37,11,10,GSW vs. IND,22025
0022500210,2025-11-11,1610612744,GSW,Golden State Warriors,0,102,126,0,-24,74,29,6,21,GSW @ OKC,22025
0022500220,2025-11-12,1610612744,GSW,Golden State Warriors,0,125,120,1,5,85,36,8,16,GSW @ SAS,22025
0022500047,2025-11-14,1610612744,GSW,Golden State Warriors,0,109,108,1,1,90,18,15,15,GSW @ SAS,22025
0022500001,2025-10-21,1610612745,HOU,Houston Rockets,0,124,125,0,-1,97,31,16,25,HOU @ OKC,22025
0022500093,2025-10-24,1610612745,HOU,Houston Rockets,1,111,115,0,-4,83,48,17,14,HOU vs. DET,22025
0022500116,2025-10-27,1610612745,HOU,Houston Rockets,1,137,109,1,28,85,26,9,10,HOU vs. BKN,22025
0022500131,2025-10-29,1610612745,HOU,Houston Rockets,0,139,121,1,18,87,34,17,17,HOU @ TOR,22025
0022500146,2025-11-01,1610612745,HOU,Houston Rockets,0,128,101,1,27,77,35,12,20,HOU @ BOS,22025
0022500160,2025-11-03,1610612745,HOU,Houston Rockets,1,110,102,1,8,89,30,15,17,HOU vs. DAL,22025
0022500176,2025-11-05,1610612745,HOU,Houston Rockets,0,124,109,1,15,101,18,15,13,HOU @ MEM,22025
0022500032,2025-11-07,1610612745,HOU,Houston Rockets,0,110,121,0,-11,85,21,17,24,HOU @ SAS,22025
0022500191,2025-11-09,1610612745,HOU,Houston Rockets,0,122,115,1,7,90,21,20,18,HOU @ MIL,22025
0022500218,2025-11-12,1610612745,HOU,Houston Rockets,1,135,112,1,23,96,23,20,12,HOU vs. WAS,22025
0022500042,2025-11-14,1610612745,HOU,Houston Rockets,1,140,116,1,24,106,20,20,6,HOU vs. POR,22025
0022500087,2025-10-22,1610612746,LAC,LA Clippers,0,108,129,0,-21,88,21,15,15,LAC @ UTA,22025
0022500099,2025-10-24,1610612746,LAC,LA Clippers,1,129,102,1,27,76,26,10,19,LAC vs. PHX,22025
0022500112,2025-10-26,1610612746,LAC,LA Clippers,1,114,107,1,7,80,15,7,24,LAC vs. POR,22025
0022500127,2025-10-28,1610612746,LAC,LA Clippers,0,79,98,0,-19,82,16,13,16,LAC @ GSW,22025
0022500027,2025-10-31,1610612746,LAC,LA Clippers,1,126,124,1,2,89,21,10,12,LAC vs. NOP,22025
0022500164,2025-11-03,1610612746,LAC,LA Clippers,1,119,120,0,-1,88,19,11,21,LAC vs. MIA,22025
0022500170,2025-11-04,1610612746,LAC,LA Clippers,1,107,126,0,-19,80,27,10,19,LAC vs. OKC,22025
0022500182,2025-11-06,1610612746,LAC,LA Clippers,0,102,115,0,-13,79,30,11,15,LAC @ PHX,22025
0022500190,2025-11-08,1610612746,LAC,LA Clippers,1,103,114,0,-11,77,18,5,11,LAC vs. PHX,22025
0022500206,2025-11-10,1610612746,LAC,LA Clippers,1,102,105,0,-3,82,25,11,12,LAC vs. ATL,22025
0022500224,2025-11-12,1610612746,LAC,LA Clippers,1,116,130,0,-14,84,19,11,15,LAC vs. DEN,22025
0022500046,2025-11-14,1610612746,LAC,LA Clippers,0,133,127,1,6,95,36,7,23,LAC @ DAL,22025
0022500002,2025-10-21,1610612747,LAL,Los Angeles Lakers,1,109,119,0,-10,77,28,7,20,LAL vs. GSW,22025
0022500019,2025-10-24,1610612747,LAL,Los Angeles Lakers,1,128,110,1,18,76,32,7,12,LAL vs. MIN,22025
0022500113,2025-10-26,1610612747,LAL,Los Angeles Lakers,0,127,120,1,7,80,46,10,17,LAL @ SAC,22025
0022500122,2025-10-27,1610612747,LAL,Los Angeles Lakers,1,108,122,0,-14,86,26,12,25,LAL vs. POR,22025
