GAME_ID,GAME_DATE,HOME_TEAM_ID,HOME_TEAM_ABBR,HOME_TEAM_NAME,HOME_PTS,HOME_PA,HOME_MARGIN,AWAY_TEAM_ID,AWAY_TEAM_ABBR,AWAY_TEAM_NAME,AWAY_PTS,AWAY_PA,AWAY_MARGIN,HOME_WIN,MARGIN_HOME,TOTAL_POINTS,HOME_PF_AVG_LAST5,HOME_PA_AVG_LAST5,HOME_WIN_RATE_LAST5,HOME_MARGIN_AVG_LAST5,HOME_OFF_RTG_LAST5,HOME_DEF_RTG_LAST5,HOME_NET_RTG_LAST5,HOME_PACE_LAST5,HOME_MARGIN_STD_LAST5,HOME_PACE_STD_LAST5,HOME_STREAK,HOME_REST_DAYS,AWAY_PF_AVG_LAST5,AWAY_PA_AVG_LAST5,AWAY_WIN_RATE_LAST5,AWAY_MARGIN_AVG_LAST5,AWAY_OFF_RTG_LAST5,AWAY_DEF_RTG_LAST5,AWAY_NET_RTG_LAST5,AWAY_PACE_LAST5,AWAY_MARGIN_STD_LAST5,AWAY_PACE_STD_LAST5,AWAY_STREAK,AWAY_REST_DAYS,REST_ADVANTAGE,BLOWOUT,OVER_MEDIAN,OVER_P75
22500002,2025-10-21,1610612747,LAL,Los Angeles Lakers,109,119,-10,1610612744,GSW,Golden State Warriors,119,109,10,0,-10,228,117.23933333333332,117.55933333333333,0.49485714285714283,-0.3199999999999999,112.3834049730696,112.7312317064661,-0.34782673339651193,104.38900190476191,13.394769895271633,4.4526286703186795,0,1.96,117.60009523809526,117.08695238095238,0.508095238095238,0.5131428571428571,112.54370911191934,112.02583588308963,0.5178732288297112,104.57088952380951,13.093571993458024,4.475016976590575,0,1.9657142857142857,-0.005747126436781609,1,0,0
22500001,2025-10-21,1610612760,OKC,Oklahoma City Thunder,125,124,1,1610612745,HOU,Houston Rockets,124,125,-1,1,1,249,117.23933333333332,117.55933333333333,0.49485714285714283,-0.3199999999999999,112.3834049730696,112.7312317064661,-0.34782673339651193,104.38900190476191,13.394769895271633,4.4526286703186795,0,1.96,117.60009523809526,117.08695238095238,0.508095238095238,0.5131428571428571,112.54370911191934,112.02583588308963,0.5178732288297112,104.57088952380951,13.093571993458024,4.475016976590575,0,1.9657142857142857,-0.005747126436781609,0,1,1
22500082,2025-10-22,1610612737,ATL,Atlanta Hawks,118,138,-20,1610612761,TOR,Toronto Raptors,138,118,20,0,-20,256,117.23933333333332,117.55933333333333,0.49485714285714283,-0.3199999999999999,112.3834049730696,112.7312317064661,-0.34782673339651193,104.38900190476191,13.394769895271633,4.4526286703186795,0,1.96,117.60009523809526,117.08695238095238,0.508095238095238,0.5131428571428571,112.54370911191934,112.02583588308963,0.5178732288297112,104.57088952380951,13.093571993458024,4.475016976590575,0,1.9657142857142857,-0.005747126436781609,1,1,1
22500084,2025-10-22,1610612741,CHI,Chicago Bulls,115,111,4,1610612765,DET,Detroit Pistons,111,115,-4,1,4,226,117.23933333333332,117.55933333333333,0.49485714285714283,-0.3199999999999999,112.3834049730696,112.7312317064661,-0.34782673339651193,104.38900190476191,13.394769895271633,4.4526286703186795,0,1.96,117.60009523809526,117.08695238095238,0.508095238095238,0.5131428571428571,112.54370911191934,112.02583588308963,0.5178732288297112,104.57088952380951,13.093571993458024,4.475016976590575,0,1.9657142857142857,-0.005747126436781609,0,0,0
22500086,2025-10-22,1610612749,MIL,Milwaukee Bucks,133,120,13,1610612764,WAS,Washington Wizards,120,133,-13,1,13,253,117.23933333333332,117.55933333333333,0.49485714285714283,-0.3199999999999999,112.3834049730696,112.7312317064661,-0.34782673339651193,104.38900190476191,13.394769895271633,4.4526286703186795,0,1.96,117.60009523809526,117.08695238095238,0.508095238095238,0.5131428571428571,112.54370911191934,112.02583588308963,0.5178732288297112,104.57088952380951,13.093571993458024,4.475016976590575,0,1.9657142857142857,-0.005747126436781609,1,1,1
22500003,2025-10-22,1610612752,NYK,New York Knicks,119,111,8,1610612739,CLE,Cleveland Cavaliers,111,119,-8,1,8,230,117.23933333333332,117.55933333333333,0.49485714285714283,-0.3199999999999999,112.3834049730696,112.7312317064661,-0.34782673339651193,104.38900190476191,13.394769895271633,4.4526286703186795,0,1.96,117.60009523809526,117.08695238095238,0.508095238095238,0.5131428571428571,112.54370911191934,112.02583588308963,0.5178732288297112,104.57088952380951,13.093571993458024,4.475016976590575,0,1.9657142857142857,-0.005747126436781609,0,0,0
22500081,2025-10-22,1610612753,ORL,Orlando Magic,125,121,4,1610612748,MIA,Miami Heat,121,125,-4,1,4,246,117.23933333333332,117.55933333333333,0.49485714285714283,-0.3199999999999999,112.3834049730696,112.7312317064661,-0.34782673339651193,104.38900190476191,13.394769895271633,4.4526286703186795,0,1.96,117.60009523809526,117.08695238095238,0.508095238095238,0.5131428571428571,112.54370911191934,112.02583588308963,0.5178732288297112,104.57088952380951,13.093571993458024,4.475016976590575,0,1.9657142857142857,-0.005747126436781609,0,1,0
22500088,2025-10-22,1610612756,PHX,Phoenix Suns,120,116,4,1610612758,SAC,Sacramento Kings,116,120,-4,1,4,236,117.23933333333332,117.55933333333333,0.49485714285714283,-0.3199999999999999,112.3834049730696,112.7312317064661,-0.34782673339651193,104.38900190476191,13.394769895271633,4.4526286703186795,0,1.96,117.60009523809526,117.08695238095238,0.508095238095238,0.5131428571428571,112.54370911191934,112.02583588308963,0.5178732288297112,104.57088952380951,13.093571993458024,4.475016976590575,0,1.9657142857142857,-0.005747126436781609,0,1,0
22500089,2025-10-22,1610612757,POR,Portland Trail Blazers,114,118,-4,1610612750,MIN,Minnesota Timberwolves,118,114,4,0,-4,232,117.23933333333332,117.55933333333333,0.49485714285714283,-0.3199999999999999,112.3834049730696,112.7312317064661,-0.34782673339651193,104.38900190476191,13.394769895271633,4.4526286703186795,0,1.96,117.60009523809526,117.08695238095238,0.508095238095238,0.5131428571428571,112.54370911191934,112.02583588308963,0.5178732288297112,104.57088952380951,13.093571993458024,4.475016976590575,0,1.9657142857142857,-0.005747126436781609,0,0,0
22500004,2025-10-22,1610612742,DAL,Dallas Mavericks,92,125,-33,1610612759,SAS,San Antonio Spurs,125,92,33,0,-33,217,117.23933333333332,117.55933333333333,0.49485714285714283,-0.3199999999999999,112.3834049730696,112.7312317064661,-0.34782673339651193,104.38900190476191,13.394769895271633,4.4526286703186795,0,1.96,117.60009523809526,117.08695238095238,0.508095238095238,0.5131428571428571,112.54370911191934,112.02583588308963,0.5178732288297112,104.57088952380951,13.093571993458024,4.475016976590575,0,1.9657142857142857,-0.005747126436781609,1,0,0
